,Headline,Price,Address,Bedrooms,Bathrooms,Balcony,Super Area,Price per sqft,Status,Transaction Type,Floor,Car parking,Furnished status,Lifts,Description,Price breakup,Address,Landmarks,Age of construction,Price comparison,Expected rent,Monthly EMI,Owner/Builder
172,2 BHK 1201 Sq-ft Flat,80.8 Lac,"JP Nagar Phase 7, Bangalore",1,2,0,1201,"6,731",Under Construction,New,3 (Out of 3 floors),None,,"Yes, 1","These flats for sale in JP Nagar, Bangalore offer a system of no common wall that eliminates all the discomforts from sharing a common wall. The distinct feature in its design has enabled to keep away from the disturbances from the next door and offers better privacy as well. These luxurious flats in JP Nagar also include a landscaped terrace garden as well as a swimming pool at the terrace level to bring in a ray of refreshing air to the buzzing life. Mahaveer Jasper, with its strategic position, image emblematic and contemporary design that stands out from the rest, is distinct in appearance and beautifully designed to meet convenience and amenities, all in one hand.",80.8 Lac,"JP Nagar Phase 7, Bangalore, JP Nagar Phase 7, Bangalore - South, Karnataka",,,,,"40,997 per month 40.4 Lac loan for 15 years ",Mahaveer
173,3 BHK Flat,71.7 Lac,"Tumkur Road, Bangalore",3,3,0,1022,"7,015",Under Construction,New,,None,Unfurnished,"Yes, s","The apartments at Arvind Oasis are skilfully outlined using modern themes and latest technologies. The science of space is thoughtfully applied to create vaastu compliant, capacious and upscale abodes, best suited for urban livelihood.",71.7 Lac,"Tumkur Road, Bangalore, Tumkur Road, Bangalore - West, Karnataka",,,,,"36,358 per month 35.8 Lac loan for 15 years ",Arvind Khatri
174,2 BHK 1120 Sq-ft Flat,36.9 Lac,"Electronics City Phase 1, Bangalore",2,2,0,1120,"3,299",Under Construction,New,,None,,"Yes, s","Murari Grand is one of the residential developments by Murari Builders, located in Bangalore. The project offers 2BHK and 3BHK flats at very competitive and affordable price. It is well planned and is built with all modern amenities.",36.9 Lac,"Electronics City Phase 1, Bangalore - South, Karnataka",,,,,"18,738 per month 18.5 Lac loan for 15 years ",Kiran Mupiri
175,3 BHK 2850 Sq-ft Flat,2.80 Cr,"Hebbal, Bangalore",3,3,2,2850,"9,824",Under Construction,New,,2 Covered,,"Yes, 3","This Multistorey Apartment at Ground faces North & overlooks Garden/Park, Pool offering a beautiful view from the house. The type of ownership is Freehold. and Store Room are additionally available. Separate servant quarter is provided. Reserved covered car parking for residents available. Bank loans available from Axis Bank, SBI, HDFC, ICICI, IDBI, Deutsche Bank, Karur Vysya Bank, HSBC, DHFL, LIC Housing Finance.",2.80 Cr,"Hebbal, Hebbal, Bangalore - North, Karnataka","Hebbal, International Airport Roa",,1.6% higher than the avg. price,,1.4 Lac per month 1.40 Cr loan for 15 years ,Stanley
176,3 BHK 1432 Sq-ft Flat,69.1 Lac,"Jakkuru Layout, Bangalore",3,3,0,1432,"4,824",Under Construction,New,,1 Covered,,"Yes, 1","SLV Essenza, is a residential development of SLV Structures, located in Jakkur road Bangalore. It offers spacious and skillfully designed 2BHK and 3BHK apartments. The project is well equipped with all the basic amenities to facilitate the needs of the residents.The site is in close proximity to various civic utilities like educational institutes, work place, hospitals & malls and entertainment.Kempegowda international airport is just 19 minutes drive.Swimming Pool, Gym, Multi Purpose Hall, CCTV, Intercom Facility, Rain Water Harvesting, Jogging Track, Children Play Area, Power backup.",69.1 Lac,"Jakkur, Bangalore, Jakkuru Layout, Bangalore - North, Karnataka",,,,,"35,039 per month 34.5 Lac loan for 15 years ",Merit Homes
177,3 BHK 3531 Sq-ft Flat,3.53 Cr,"Hebbal, Bangalore",3,3,2,3531,"10,000",Ready to Move,New,20 (Out of 22 floors),2 Covered,,"Yes, 4","Multistorey apartment is available for sale at Embassy Lake Terraces, our designers and engineers have taken particular care in ensuring privacy, total security and a high quality of life with landscaped terraces, viewing decks and of course, the jogging trail, this aero-promenade raises the bar for residential leisure spaces. It has wall to wall glass facades, 3.4 meter high ceilings and Italian marble in our air-conditioned apartments heighten the sense of luxury, while the engineered wooden flooring gives you the comfort that you are on a firm footing. This is luxury at its finest.",3.53 Cr,"Hebbal Flyover Main Road, Bangalore, Karnataka, India, Hebbal, Bangalore - North, Karnataka",Near to Columbia Asia Hospital.,New Construction,10.7% lower than the avg. price,,1.5 Lac per month 1.76 Cr loan for 15 years ,Bhavesh Kothari
178,1 BHK 660 Sq-ft Flat,56.0 Lac,"Binnypete, Bangalore",1,1,1,660,"8,484",Under Construction,New,8 (Out of 32 floors),None,,"Yes, 4","Parkwest is a premium residential project by Shapoorji Pallonji, located in Binny Pete, West Bangalore. This magnificent project offers a variety of choices for varying needs. With residences ranging from studio apartments to 2BHK and 3BHK apartments and penthouses; this luxury project is surrounded by lush greenery and ample open spaces to offer a lifetime experience to the buyers. MAPLEElevation G+31 floorsStructure Wing A, B , C with four elevators and two staircase in each wing. 16 Units Floor",56.0 Lac,"Binnypete, Bangalore, Binnypete, Bangalore - Central, Karnataka",Victoriya HospitalMantri MallGopalan LegacyMajestic Railway Station,,6.4% higher than the avg. price,,"28,399 per month 28 Lac loan for 15 years ",Neetu
179,4 BHK 2757 Sq-ft Flat for Sale in JP Nagar,2.48 Cr,"JP Nagar,Bangalore",4,4,0,2757,"8,999",,,,None,Unfurnished,No,We are happy to announce Pinnacle Classic located at JP Nagar 1st Phase Outer ring road Bangalore one of the Posh Bangalore Residential corridor,2.48 Cr,"Pinnacle calssic flat no 106 1st floor JP nagar Outer ring road Bangalore, JP Nagar, Bangalore - South, Karnataka",Nandhini hotel,,,,1.3 Lac per month 1.24 Cr loan for 15 years ,Mahesh Naidu
180,3 BHK 1542 Sq-ft Flat,71.7 Lac,"Horamavu, Bangalore",3,3,1,1542,"4,650",Under Construction,New,4 (Out of 13 floors),None,,"Yes, 2",LANDOWNER SHAREProject Total Area – 4.06 Acres.No Of Floor – 13.Total Units – 334 Apartments.Total Open Space – 74% Open Space.,71.7 Lac,"Horamavu, Horamavu, Bangalore - North, Karnataka",Near Church of Hope,,,,"36,361 per month 35.9 Lac loan for 15 years ",Ashish Agarwal
181,3 BHK 1494 Sq-ft Flat,1.07 Cr,"Mahadevapura, Bangalore",3,2,0,1494,"7,162",Under Construction,New,,None,,"Yes, 3","DNR Casablanca - an urban living experience of multi-storied twin tower apartments, strategically located amidst the vibrancy in Mahadevapura, Whitefield Main Road.It is just around the corner from shopping, restaurants, recreation and a short walk to work or your child's school. A Casablanca resident will have the luxury of a timely commute with just a walk.",1.07 Cr,"Mahadevapura, Bangalore - East, Karnataka",,,10.7% higher than the avg. price,,"54,263 per month 53.5 Lac loan for 15 years ",Jayashree
182,3 BHK 1718 Sq-ft Flat,88.6 Lac,"Kanakapura Road, Bangalore",1,3,0,1718,"5,158",Under Construction,New,3 (Out of 3 floors),None,,"Yes, 2","At Amber Woods, living luxuriously comes easy. It provides all modern amenities, each thoughtfully planned to make every day living an experience to cherish. Amber Woods includes a club house with swimming pool, covered car parking, fully equipped gym, childrens play area, jogging track, power backup to each flat, rain water harvesting, door video calling security system, and granite flooring for all common areas.",88.6 Lac,"Kanakapura Road, Bangalore - South, Karnataka",,,,,"44,942 per month 44.3 Lac loan for 15 years ",Anupam Mishra
183,3 BHK 1865 Sq-ft Flat,1.15 Cr,"Jakkur, Bangalore",3,3,0,1865,"6,166",Under Construction,New,,None,Unfurnished,"Yes, s","Welcome to Century Breeze --Conveniently located off BIAL Road, Century Breeze boasts a unique feature that sets it apart from other apartment complexes the homes only occupy 25% of the total property. This ensures that there is a large area of wide open spaces that you will love to explore, because we have furnished this verdant paradise with state-of-the-art amenities. Century Builders under constructing the dream project in the naming of Century Breeze in Jakkur, North Bangalore. Apartment has 2, 3 and 3.5 BHK luxurious apartments.",1.15 Cr,"Jakkur, Bangalore - North, Karnataka",,,7.2% higher than the avg. price,,"58,320 per month 57.5 Lac loan for 15 years ",Prime Homes
184,3 BHK 1860 Sq-ft Flat,1.19 Cr,"Whitefield, Bangalore",3,4,0,1860,"6,426",Ready to Move,New,,2 Covered,Unfurnished,"Yes, s","Located in Whitefield, Bangalore, the Umiya Woods offers easy connectivity to Hypercity, Forum Value Mall, Apollo Clinic, Sri Sathya Sai Hospital, Sigma Technology Park, Inorbit, Ascendas Park Square etc. The society is equipped with 3BHK apartments that are spread across the total area of 1700 sqft. and are equipped with 3 bedrooms and 3 bathrooms.Meet Umiya Group at India Property Fair, Singapore on 28th & 29th Oct'17PARK ROYAL , KITCHENER ROAD, Emerald Ballroom 111 00 AM TO 7 00 PM",1.19 Cr,"Whitefield, Bangalore - East, Karnataka",,,12.1% higher than the avg. price,,"60,616 per month 59.8 Lac loan for 15 years ",Ajay Achpal
185,3 BHK Villa,1.07 Cr,"Aster,Devanahalli,Bangalore",3,3,0,2148,"4,981",Under Construction,New,,None,,"Yes, s","The project is a residential development, villas that are new in design. This tranquil residential layout offers 49 Villas, with full-fledged amenities and much more. Just blocks away from NH44 and 15 minutes from International Airport, this project at Devanahalli (the developing strip of Bangalore) offers everything anyone has desired for.",1.07 Cr,"Devanahalli, Bangalore - North, Karnataka",,,62.6% lower than the avg. price,,"54,263 per month 53.5 Lac loan for 15 years ",Aster
186,1 BHK 920 Sq-ft Flat,48.1 Lac,"Electronics City Phase 1, Bangalore",1,1,0,920,"5,228",Ready to Move,New,,None,Unfurnished,"Yes, s","MJR Clique Signature Apartments is located idyllically on Neo Town Road in Electronics City Phase-I housing umpteen IT companies. Comfortably connected and shares close proximity to Educational Institutions, Hospitals and Social Infrastructures. Signature apartments is a residential retreat your family has been longing to discover, offering a unique lifestyle that you will love with the best design features that will put your Signature on your lifestyle. Come and experience the Signature Lifestyle and show your friends what living well is all about, as it is a perfect balance of peaceful serenity and modern convenience.",48.1 Lac,"Electronics City Phase 1, Bangalore - South, Karnataka",,,,,"24,393 per month 24.1 Lac loan for 15 years ",Swetha
187,Residential Plot,27.1 Lac,"NBR Hills View,Nandi hills,Bangalore",0,0,0,1200,,,,,None,,No,"It is everyone's ardent desire to stay far from the madding crowd, especially when lives in a happening metro like Bangalore. It is great to enjoy the hustle bustle of the city life for most of the day but, when you retire for the day, it is peace and quiet that you long for. You get all of this and much more with NBR Hills View.",27.1 Lac,"Nandi Hills, Bangalore, Nandi hills, Bangalore - North, Karnataka",,,,,"13,743 per month 13.6 Lac loan for 15 years ",GR Devendranath
188,2 BHK 86 Sq-m Flat,58.3 Lac,"Mysore Road, Bangalore",2,2,0,86,,Ready to Move,New,,None,Unfurnished,No,"Our dream home. Paid for with late nights, sweat and sacrifice. This is your prize for building up a business one customer at a time. Nurturing a family one heartbeat at a time. This is your temple of tranquility, your reward and deservedly so. Welcome to Princeville. Where a forty-acre green carpet becomes a gorgeous backdrop to your home. Where the coconut grove gently whispers secrets of a better life while you stretch your legs by the Kengeri lake. A gym, a convenience store, with easy access to the metro, a few-minute walk to the Global Tech Village SEZ, and a host of schools, malls and hospitals in the nearby vicinity for those rare times when you want to step out of your private kingdom. With just four apartments per floor, no common walls and apartments unobstructed on all four sides, you're assured discreet privacy, majestic views and soothing ventilation. Above prices are all inclusive expect registration.",58.3 Lac,"Mysore Road, Bangalore - West, Karnataka",,,,,"29,566 per month 29.2 Lac loan for 15 years ",Roshan
189,2 BHK 656 Sq-ft Flat,19.2 Lac,"Attibele, Bangalore",2,2,0,656,"2,927",Ready to Move,New,,None,Unfurnished,"Yes, s","Janaadhar Shubha is promoted by Janaadhar India Pvt. Ltd., a company dedicated to providing well designed, high quality homes at a budget. The company is part of the Jana group of companies and headed by Mr.Ramesh Ramanathan, a very well known social entrepreneur. Planned as a budget housing solution, Janaadhar Shubha is being developed on an 11.5 acres plot on the Attibele-Anekal Road, on the outskirts of Bangalore city. Located close to several of the city's major industrial belts, the township consists of 1128 apartments. The apartments, which are open from 3 sides, are a true testament to design efficiency and superior planning, applied for the first time in the area of budget housing.Cluster 1- PR000313Cluster 2- PR000337Cluster 3- PR000353",19.2 Lac,"Attibele, Bangalore - Anekal, Karnataka",,,,,"9,737 per month 9.6 Lac loan for 15 years ",Janaadhar (India) Pvt. Ltd.
190,3 BHK 1452 Sq-ft Flat,84.2 Lac,"Whitefield, Bangalore",2,2,0,1452,"5,799",Under Construction,New,2 (Out of 14 floors),None,,"Yes, 2","Located at Hoodi Circle, Opp. Zuri, Bangalore, Dsr Infra Lotus Towers is where stress unheard of. Located in a prime residential and commercial area, this project is where life ceases to be mere existence, and attains the form of a celebration.",84.2 Lac,"Whitefield, Bangalore - East, Karnataka",,,5.5% lower than the avg. price,,"42,701 per month 42.1 Lac loan for 15 years ",Narayana
191,2 BHK 1190 Sq-ft Flat,48.0 Lac,"Mysore Road, Bangalore",2,2,0,1190,"4,034",Under Construction,New,8 (Out of 15 floors),None,,"Yes, 2","Meda Greens has 2 and 3 BHK Luxury Apartments located on Mysore Highway, Bangalore Near R.V College of Engg. Each apartment in Meda Greens has individually designed to ensure maximum ventilation, comfort and optimally sized to provide you with a tranquil life. It is located less than 2.5 km from Global Village Tech Park, Bangalore University, RV Engineering College, BGS Global Hospital, Metro Station, and Gopalan mall. Provides one of the best connectivity across Bangalore as is 4 KMS from Outer Ring Road, 2 Kms from Nice Ring Road.",48.0 Lac,"Mysore Road, Bangalore - West, Karnataka",,,,,"24,342 per month 24 Lac loan for 15 years ",Sandip
